Image_File,Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB* - Opt),4,11.94606800,8.76057900,99.605021,33.436715,7.999918,0.021158,0.004008,0.001279
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB* - Opt),5,11.94387900,8.83503800,99.605021,33.436715,7.999918,0.013311,-0.004018,-0.015540
images/pl23_con00216.jpg,Hyperchaotic and 2D Sensing (MATLAB*),1,0.76679300,0.08470900,99.769012,33.454617,7.999932,0.006813,-0.010372,0.014091
images/pl23_con00216.jpg,Hyperchaotic and 2D Sensing (MATLAB*),2,0.77181800,0.07583400,99.769012,33.454617,7.999932,0.013303,-0.024343,0.002065
images/pl23_con00216.jpg,Hyperchaotic and 2D Sensing (MATLAB*),3,0.74640600,0.07521200,99.769012,33.454617,7.999932,-0.003643,-0.030865,0.003425
images/pl23_con00216.jpg,Hyperchaotic and 2D Sensing (MATLAB*),4,0.82366200,0.07722400,99.769012,33.454617,7.999932,-0.010725,-0.011637,0.005502
images/pl23_con00216.jpg,Hyperchaotic and 2D Sensing (MATLAB*),5,0.74560400,0.07506200,99.769012,33.454617,7.999932,0.006204,0.028110,-0.018846
images/pl23_con00216.jpg,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.28684800,0.29529500,0.000041,0.000000,7.999936,-0.007048,0.005473,0.002244
images/pl23_con00216.jpg,Hu & Tian - Two-Stage Logistic (MATLAB*),2,0.27954800,0.29544500,0.000041,0.000000,7.999936,0.000575,0.001221,-0.015514
images/pl23_con00216.jpg,Hu & Tian - Two-Stage Logistic (MATLAB*),3,0.27389900,0.28874500,0.000041,0.000000,7.999936,-0.030579,0.021279,-0.001945
images/pl23_con00216.jpg,Hu & Tian - Two-Stage Logistic (MATLAB*),4,0.27625400,0.29164100,0.000041,0.000000,7.999936,-0.007604,-0.003776,-0.000167
images/pl23_con00216.jpg,Hu & Tian - Two-Stage Logistic (MATLAB*),5,0.26314400,0.26036500,0.000041,0.000000,7.999936,0.017922,-0.004790,-0.023277
images/pl23_con00216.jpg,Hyperchaotic Adaptive (MATLAB*),1,9.83211100,10.96385700,99.608395,33.440773,7.999940,0.001748,0.001906,-0.009412
images/pl23_con00216.jpg,Hyperchaotic Adaptive (MATLAB*),2,9.88145800,10.98676400,99.608395,33.440773,7.999940,0.000584,-0.002070,0.005990
images/pl23_con00216.jpg,Hyperchaotic Adaptive (MATLAB*),3,9.90204700,10.97417800,99.608395,33.440773,7.999940,0.008795,0.011899,-0.011563
images/pl23_con00216.jpg,Hyperchaotic Adaptive (MATLAB*),4,9.94902200,11.04610000,99.608395,33.440773,7.999940,0.006754,-0.014130,0.015515
images/pl23_con00216.jpg,Hyperchaotic Adaptive (MATLAB*),5,9.92118400,11.02065200,99.608395,33.440773,7.999940,0.011528,0.015756,-0.002492
