Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
ChaCha20 (MATLAB),salt_pepper,0.100000,19.312425,0.401965,6230.821865
ChaCha20 (MATLAB),salt_pepper,0.200000,16.178712,0.236371,8861.480339
ChaCha20 (MATLAB),gaussian,0.000010,30.115566,0.841894,1804.114269
ChaCha20 (MATLAB),gaussian,0.000100,24.467688,0.621072,3451.231294
ChaCha20 (MATLAB),gaussian,0.001000,19.600350,0.379097,6027.418607
ChaCha20 (MATLAB),gaussian,0.010000,15.196644,0.200022,9886.255305
Chaos Circular,contiguous_crop,0.100000,18.273032,0.387895,7023.204645
Chaos Circular,contiguous_crop,0.250000,14.538044,0.197952,10651.871359
Chaos Circular,contiguous_crop,0.500000,11.778606,0.089061,14251.032275
Chaos Circular,contiguous_crop,0.750000,10.259650,0.040988,16497.261368
Chaos Circular,crop,0.100000,17.871919,0.310393,7355.481063
Chaos Circular,crop,0.250000,14.064264,0.156341,11304.761204
Chaos Circular,crop,0.500000,11.460023,0.076095,14921.192386
Chaos Circular,crop,0.750000,10.086298,0.036922,16976.703128
Chaos Circular,tamper,0.100000,18.295825,0.392254,7015.104024
Chaos Circular,tamper,0.250000,14.457658,0.197643,10735.746754
Chaos Circular,tamper,0.500000,11.730871,0.089962,14339.773412
Chaos Circular,tamper,0.750000,10.228566,0.040414,16572.070311
Chaos Circular,salt_pepper,0.010000,27.833886,0.820349,2348.535177
Chaos Circular,salt_pepper,0.050000,20.914079,0.473128,5197.279877
Chaos Circular,salt_pepper,0.100000,17.904484,0.314113,7343.885124
Chaos Circular,salt_pepper,0.200000,14.963165,0.188172,10232.724648
Chaos Circular,gaussian,0.000010,13.759218,0.153870,11440.530393
Chaos Circular,gaussian,0.000100,11.562737,0.081761,14426.925423
Chaos Circular,gaussian,0.001000,10.422816,0.052102,16258.857437
Chaos Circular,gaussian,0.010000,9.765356,0.028082,17320.840332
3D-Logistic-Chirikov,contiguous_crop,0.100000,15.555265,0.230236,9513.898971
3D-Logistic-Chirikov,contiguous_crop,0.250000,11.857520,0.104297,14247.179465
3D-Logistic-Chirikov,contiguous_crop,0.500000,9.379776,0.046720,18113.179680
3D-Logistic-Chirikov,contiguous_crop,0.750000,8.109795,0.022342,19840.479723
3D-Logistic-Chirikov,crop,0.100000,15.637995,0.228364,9422.164930
3D-Logistic-Chirikov,crop,0.250000,11.859101,0.100745,14237.912332
3D-Logistic-Chirikov,crop,0.500000,9.395619,0.046589,18086.408353
3D-Logistic-Chirikov,crop,0.750000,8.115518,0.022348,19811.350607
3D-Logistic-Chirikov,tamper,0.100000,15.549033,0.227110,9518.992624
3D-Logistic-Chirikov,tamper,0.250000,11.886187,0.104693,14222.547667
3D-Logistic-Chirikov,tamper,0.500000,9.377786,0.045169,18154.521486
3D-Logistic-Chirikov,tamper,0.750000,8.118894,0.020571,19941.891940
3D-Logistic-Chirikov,salt_pepper,0.010000,25.457565,0.756333,3086.385450
3D-Logistic-Chirikov,salt_pepper,0.050000,18.443149,0.362489,6898.203551
3D-Logistic-Chirikov,salt_pepper,0.100000,15.559604,0.224505,9528.236160
3D-Logistic-Chirikov,salt_pepper,0.200000,12.761839,0.126247,12948.863923
3D-Logistic-Chirikov,gaussian,0.000010,11.864437,0.101959,14256.730426
3D-Logistic-Chirikov,gaussian,0.000100,9.620995,0.049392,17794.217159
3D-Logistic-Chirikov,gaussian,0.001000,8.555137,0.030683,19355.054299
3D-Logistic-Chirikov,gaussian,0.010000,7.973585,0.019791,20072.038319
Chaos Bit Shuffle (Orig),contiguous_crop,0.100000,17.936475,0.318344,7308.440980
